part_number,part_name,commodity,material,supplier_name,supplier_country,supplier_city,annual_usage,unit_cost,criticality,alternate_supplier
P1001,Graphite Component 1,Graphite,Battery Material,Titan Manufacturing,Germany,Berlin,11651,28,High,Neo Supply
P1002,Wheat Component 2,Wheat,Agriculture,Global Materials,South Korea,Seoul,10532,25,Low,Neo Supply
P1003,Cobalt Component 3,Cobalt,Battery Material,Titan Manufacturing,United States,Houston,7272,3,High,Apex Resources
P1004,Platinum Component 4,Platinum,Metal,Apex Resources,South Korea,Seoul,8880,36,Medium,Atlas Industrial
P1005,Steel Component 5,Steel,Metal,Neo Supply,Chile,Santiago,7316,22,Medium,Prime Metals
P1006,Titanium Component 6,Titanium,Metal,Core Components,Germany,Berlin,7023,34,Medium,Global Materials
P1007,Gold Component 7,Gold,Metal,Core Components,Taiwan,Taichung,10330,38,High,Core Components
P1008,Hydrogen Component 8,Hydrogen,Energy,NovaTech Supply,South Korea,Seoul,2484,25,Low,Atlas Industrial
P1009,Microchips Component 9,Microchips,Semiconductor,Quantum Circuits,Chile,Santiago,4328,9,High,Neo Supply
P1010,Tin Component 10,Tin,Metal,Quantum Circuits,India,Pune,7821,17,Medium,NextGen Materials
P1011,Palm Oil Component 11,Palm Oil,Agriculture,NovaTech Supply,Japan,Osaka,11758,28,High,NextGen Materials
P1012,Wheat Component 12,Wheat,Agriculture,NextGen Materials,India,Pune,4645,3,Low,Titan Manufacturing
P1013,Microchips Component 13,Microchips,Semiconductor,NextGen Materials,India,Pune,14184,4,Low,Global Materials
P1014,Corn Component 14,Corn,Agriculture,NovaTech Supply,Canada,Toronto,7229,17,High,Global Materials
P1015,Glass Component 15,Glass,Construction,NextGen Materials,China,Shenzhen,7673,22,High,Titan Manufacturing
P1016,Fertilizers Component 16,Fertilizers,Chemical,NovaTech Supply,Canada,Toronto,12606,2,Low,Neo Supply
P1017,Electronics Component 17,Electronics,Electronic Component,Atlas Industrial,Germany,Berlin,5166,14,High,Atlas Industrial
P1018,Graphite Component 18,Graphite,Battery Material,Atlas Industrial,Chile,Santiago,6720,4,High,NovaTech Supply
P1019,Graphite Component 19,Graphite,Battery Material,Quantum Circuits,Taiwan,Taichung,3862,14,High,NextGen Materials
P1020,Glass Component 20,Glass,Construction,Atlas Industrial,Taiwan,Taichung,2551,38,Low,Quantum Circuits
P1021,Corn Component 21,Corn,Agriculture,Apex Resources,Chile,Santiago,2676,8,High,Global Materials
P1022,Crude Oil Component 22,Crude Oil,Energy,Core Components,Germany,Berlin,10368,26,High,Titan Manufacturing
P1023,Crude Oil Component 23,Crude Oil,Energy,NextGen Materials,Germany,Berlin,13529,31,High,Apex Resources
P1024,Nickel Component 24,Nickel,Metal,Titan Manufacturing,Chile,Santiago,12783,21,Low,Titan Manufacturing
P1025,Corn Component 25,Corn,Agriculture,Titan Manufacturing,South Korea,Seoul,6859,33,High,Global Materials
